Bandera,Alcance,Mujeres,Hombres,18 a 24,25 a 34,35 a 44,45 a 55,56 +,NSE 1-2,NSE 3-4,NSE 5-6,Género,Edad,NSE,% Mujeres,% Hombres,% 18 a 24,% 25 a 34,% 35 a 44,% 45 a 55,% 56 +,% NSE 1-2,% NSE 3-4,% NSE 5-6
ban_negocios,2.469.743,1.079.936,1.327.659,135.949,491.937,511.348,364.937,390.770,520.400,350.057,37.779,2.407.595,1.894.941,908.236,"44,86%","55,14%","7,17%","25,96%","26,98%","19,26%","20,62%","57,30%","38,54%","4,16%"
ban_gastrobar,2.910.901,1.507.261,1.327.887,223.835,631.110,570.685,380.197,358.805,550.681,399.531,48.560,2.835.148,2.164.632,998.772,"53,16%","46,84%","10,34%","29,16%","26,36%","17,56%","16,58%","55,14%","40,00%","4,86%"
ban_mora_cartera,954.054,412.972,511.334,165.500,280.952,202.628,130.238,124.820,147.176,82.173,10.138,924.306,904.138,239.487,"44,68%","55,32%","18,30%","31,07%","22,41%","14,40%","13,81%","61,45%","34,31%","4,23%"
ban_clase_alta,1.044.306,498.830,510.612,89.819,245.747,194.883,132.744,146.945,159.936,183.566,40.607,1.009.442,810.138,384.109,"49,42%","50,58%","11,09%","30,33%","24,06%","16,39%","18,14%","41,64%","47,79%","10,57%"
ban_electrodomesticos,3.929.072,1.711.926,1.951.843,308.467,787.405,733.029,516.335,541.116,667.107,507.195,72.356,3.663.769,2.886.352,1.246.658,"46,73%","53,27%","10,69%","27,28%","25,40%","17,89%","18,75%","53,51%","40,68%","5,80%"
ban_cajas_compensacion,662.232,322.946,289.548,52.797,168.485,154.473,92.986,84.553,128.954,101.023,9.321,612.494,553.294,239.298,"52,73%","47,27%","9,54%","30,45%","27,92%","16,81%","15,28%","53,89%","42,22%","3,90%"
ban_futbol,2.050.355,680.871,1.179.827,175.977,424.328,412.401,290.340,326.995,357.275,289.734,34.436,1.860.698,1.630.041,681.445,"36,59%","63,41%","10,80%","26,03%","25,30%","17,81%","20,06%","52,43%","42,52%","5,05%"
ban_finca_raiz,24.858,12.551,11.893,965,5.511,5.894,4.033,4.946,4.754,5.623,802,24.444,21.349,11.179,"51,35%","48,65%","4,52%","25,81%","27,61%","18,89%","23,17%","42,53%","50,30%","7,17%"
ban_drogueria,1.687.315,860.084,671.185,195.060,419.703,314.666,205.678,211.636,265.242,237.951,34.107,1.531.269,1.346.743,537.300,"56,17%","43,83%","14,48%","31,16%","23,36%","15,27%","15,71%","49,37%","44,29%","6,35%"
ban_tec_camaras,14.498,6.239,8.040,778,3.640,3.694,2.296,1.924,3.196,2.628,332,14.279,12.332,6.156,"43,69%","56,31%","6,31%","29,52%","29,95%","18,62%","15,60%","51,92%","42,69%","5,39%"
